ID,Name,Team,Number,Birth Year,Birth Month,Birth Day,Position,Pitching Hand,Underhand,Batting Hand,Height (cm),Weight (kg),Career,Contract Payment,Payment Unit,Salary,Salary Unit,Draft Year,Draft Team,Draft Detail,Joined Year,Joined Team,Data Errors
70309,윌리엄스,현대 유니콘스,9.0,1964.0,11.0,1.0,Infielder,Right,False,Right,180.0,95.0,미국 후버고,37500.0,달러,112500.0,달러,0.0,현대,자유선발,0.0,현대,
70310,카펜터,현대 유니콘스,10.0,1968.0,7.0,23.0,Outfielder,Left,False,Left,182.0,83.0,미국 아칸사스대,,,,,0.0,현대,자유선발,0.0,현대,"Contract Payment (14, 15):    Salary (16, 17): 10만달러   "
70312,오윤,키움 히어로즈,73.0,1981.0,9.0,8.0,,Right,False,Right,186.0,98.0,합덕초-온양중-북일고-현대-상무-현대-우리-히어로즈-넥센-한화,,,5300.0,만원,0.0,현대,2차 2라운드 12순위,0.0,현대,"Contract Payment (14, 15):    "
70317,퀸란,LG 트윈스,0.0,1968.0,3.0,27.0,Infielder,Right,False,Right,184.0,99.0,미국 힐머래이고-현대,,,,,0.0,현대,자유선발,0.0,현대,"Contract Payment (14, 15): 7만달러   Salary (16, 17): 10만달러   "
70323,신철인,넥센 히어로즈,23.0,1977.0,5.0,22.0,Pitcher,Right,False,Right,175.0,75.0,청원초-청원중-경동고-제주관광대,2500.0,만원,5500.0,만원,0.0,현대,2차 10라운드 77순위,8.0,넥센,
70324,유인보,현대 유니콘스,24.0,1977.0,6.0,17.0,Catcher,Right,False,Right,181.0,81.0,부천고-동아대,4000.0,만원,2000.0,만원,,,,0.0,현대,"Draft (18, 19, 20):    "
70329,마일영,한화 이글스,79.0,1981.0,5.0,28.0,,Left,False,Left,177.0,95.0,대전신흥초-충남중-대전고-(경기대)-현대-우리-히어로즈-한화,,,6000.0,만원,0.0,쌍방울,2차 1라운드 1순위,0.0,현대,"Contract Payment (14, 15):    "
70332,한동희,현대 유니콘스,32.0,1980.0,4.0,21.0,Outfielder,Left,False,Left,186.0,82.0,군산상고,6000.0,만원,2000.0,만원,,,,0.0,현대,"Draft (18, 19, 20):    "
70335,브링클리,현대 유니콘스,35.0,1968.0,12.0,23.0,Outfielder,Right,False,Right,181.0,93.0,미국 새카리드히오트대,,,,,0.0,현대,자유선발,0.0,현대,"Contract Payment (14, 15): 3만달러   Salary (16, 17): 9만5000달러   "
70342,김동성,현대 유니콘스,42.0,1982.0,1.0,10.0,Catcher,Right,False,Right,182.0,74.0,영흥고,3000.0,만원,1500.0,만원,,,,0.0,현대,"Draft (18, 19, 20):    "
70344,윤인섭,현대 유니콘스,44.0,1977.0,4.0,3.0,Infielder,Right,False,Right,185.0,83.0,인천고-건국대,3600.0,만원,2000.0,만원,,,,0.0,현대,"Draft (18, 19, 20):    "
70345,김성태,넥센 히어로즈,20.0,1982.0,1.0,3.0,Pitcher,Right,False,Right,185.0,84.0,삼릉초-언북중-장충고-현대-넥센,1300.0,만원,4000.0,만원,0.0,현대,2차 6라운드 44순위,0.0,현대,
70349,박승민,KT 위즈,87.0,1977.0,3.0,18.0,,Right,True,Right,186.0,90.0,강남초-강남중-서울고-경희대-현대-우리-넥센-KIA,,,8000.0,만원,,,,0.0,현대,"Contract Payment (14, 15):    Draft (18, 19, 20):    "
70352,이상현,현대 유니콘스,52.0,1981.0,4.0,5.0,Pitcher,Right,False,Right,186.0,90.0,춘천고,22000.0,만원,2100.0,만원,,,,0.0,현대,"Draft (18, 19, 20):    "
70356,이동학,LG 트윈스,43.0,1981.0,5.0,6.0,Pitcher,Right,False,Right,184.0,92.0,회원초-마산동중-마산고-현대-상무-현대-우리-히어로즈-넥센-LG,13500.0,만원,2700.0,만원,0.0,현대,2차 1라운드 4순위,0.0,현대,
70358,김지성,현대 유니콘스,58.0,1981.0,6.0,24.0,Infielder,Right,False,Right,180.0,75.0,경북고,2000.0,만원,1500.0,만원,,,,0.0,현대,"Draft (18, 19, 20):    "
70364,전근표,한화 이글스,19.0,1977.0,3.0,5.0,Outfielder,Left,False,Left,185.0,88.0,화곡초-신일중-신일고-한양대-현대-히어로즈,30000.0,만원,3300.0,만원,96.0,현대,2차 5라운드 35순위,8.0,히어로즈,
70408,박정환,KT 위즈,80.0,1977.0,10.0,23.0,,Right,False,Right,180.0,88.0,효제초-청원중-동대문상고-동국대-삼성-SK,,,6700.0,만원,,,,0.0,삼성,"Contract Payment (14, 15):    Draft (18, 19, 20):    "
70410,김주찬,KIA 타이거즈,16.0,1981.0,3.0,25.0,Infielder,Right,False,Right,183.0,94.0,충암초-충암중-충암고-삼성-롯데,18000.0,만원,40000.0,만원,0.0,삼성,2차 1라운드 5순위,0.0,삼성,
70414,프랑코,롯데 자이언츠,81.0,1961.0,8.0,23.0,,Right,False,Right,185.0,95.0,도미니카 Divine(고)-삼성,,,135000.0,달러,,,,0.0,삼성,"Contract Payment (14, 15):    Draft (18, 19, 20):    "
70425,배영수,두산 베어스,25.0,1981.0,5.0,4.0,Pitcher,Right,False,Right,184.0,97.0,칠성초-경복중-경북고-삼성-한화,25000.0,만원,10000.0,만원,0.0,삼성,1차,0.0,삼성,
70427,남기헌,삼성 라이온즈,27.0,1977.0,8.0,1.0,Outfielder,Left,False,Left,170.0,84.0,부산고-고려대,7000.0,만원,2000.0,만원,,,,0.0,삼성,"Draft (18, 19, 20):    "
70430,박영진,삼성 라이온즈,14.0,1979.0,3.0,19.0,Pitcher,Right,False,Right,180.0,85.0,경남고,15000.0,만원,2000.0,만원,,,,0.0,삼성,"Draft (18, 19, 20):    "
70432,정경주,삼성 라이온즈,32.0,1981.0,1.0,25.0,Infielder,Right,False,Right,173.0,72.0,휘문고,3500.0,만원,1500.0,만원,,,,0.0,삼성,"Draft (18, 19, 20):    "
70434,이용훈,롯데 자이언츠,99.0,1977.0,7.0,14.0,,Right,False,Right,183.0,83.0,동삼초-경남중-부산공고-경성대-삼성-SK-롯데,,,6800.0,만원,96.0,삼성,2차 5라운드 17순위,0.0,삼성,"Contract Payment (14, 15):    "
70441,가르시아,삼성 라이온즈,41.0,1968.0,5.0,11.0,Pitcher,Right,False,Right,186.0,98.0,미국 리버사이드 커뮤니티대,,,,,0.0,삼성,자유선발,0.0,삼성,"Contract Payment (14, 15):    Salary (16, 17): 8만달러   "
70444,이명호,롯데 자이언츠,24.0,1981.0,2.0,10.0,Pitcher,Left,True,Left,183.0,80.0,배명고,15000.0,만원,2200.0,만원,,,,0.0,삼성,"Draft (18, 19, 20):    "
70448,박수환,삼성 라이온즈,48.0,1981.0,6.0,29.0,Pitcher,Right,False,Right,180.0,75.0,분당중앙고,5000.0,만원,1800.0,만원,,,,0.0,삼성,"Draft (18, 19, 20):    "
70453,백주한,삼성 라이온즈,53.0,1980.0,9.0,24.0,Pitcher,Left,False,Left,190.0,90.0,마산상고,2000.0,만원,1500.0,만원,,,,0.0,삼성,"Draft (18, 19, 20):    "
70454,정승찬,삼성 라이온즈,54.0,1981.0,7.0,23.0,Pitcher,Left,False,Left,174.0,64.0,대구고,3000.0,만원,1500.0,만원,,,,0.0,삼성,"Draft (18, 19, 20):    "
70464,구민호,삼성 라이온즈,64.0,1977.0,3.0,11.0,Infielder,Right,False,Right,183.0,84.0,경남상고-건국대,3500.0,만원,1900.0,만원,,,,0.0,삼성,"Draft (18, 19, 20):    "
70503,우드,롯데 자이언츠,3.0,1967.0,1.0,4.0,Outfielder,Left,False,Left,188.0,86.0,미국 뉴올리언즈대,,,,,0.0,롯데,자유선발,0.0,롯데,"Contract Payment (14, 15): 4만달러   Salary (16, 17): 12만달러   "
70523,차정국,롯데 자이언츠,23.0,1976.0,8.0,7.0,Outfielder,Right,False,Right,180.0,83.0,군산상고-경성대,,,1600.0,만원,,,,0.0,롯데,"Contract Payment (14, 15):    Draft (18, 19, 20):    "
70531,강민영,롯데 자이언츠,31.0,1981.0,7.0,4.0,Pitcher,Right,False,Right,182.0,76.0,경남고,26000.0,만원,1800.0,만원,,,,0.0,롯데,"Draft (18, 19, 20):    "
70533,김무성,롯데 자이언츠,33.0,1976.0,11.0,25.0,Infielder,Right,False,Right,186.0,88.0,인천고-건국대,,,1600.0,만원,,,,0.0,롯데,"Contract Payment (14, 15):    Draft (18, 19, 20):    "
70540,정진수,롯데 자이언츠,40.0,1981.0,4.0,19.0,Pitcher,Right,False,Right,185.0,83.0,공주고,10000.0,만원,1700.0,만원,,,,0.0,롯데,"Draft (18, 19, 20):    "
70542,화이트,롯데 자이언츠,42.0,1969.0,10.0,12.0,Outfielder,Right,False,Right,183.0,101.0,미국 오클라호마대,,,,,0.0,롯데,자유선발,0.0,롯데,"Contract Payment (14, 15): 3만달러   Salary (16, 17): 7만달러   "
70543,박창원,롯데 자이언츠,43.0,1977.0,3.0,17.0,Outfielder,Left,False,Left,184.0,82.0,광주고-경희대,2000.0,만원,1800.0,만원,,,,0.0,롯데,"Draft (18, 19, 20):    "
70546,전영삼,롯데 자이언츠,46.0,1975.0,11.0,19.0,Pitcher,Left,False,Left,181.0,80.0,마산상고-동아대-상무,2000.0,만원,1800.0,만원,,,,0.0,롯데,"Draft (18, 19, 20):    "
70553,박기혁,KT 위즈,76.0,1981.0,6.0,4.0,,Right,False,Right,179.0,77.0,대구수창초-성광중-대구상고-롯데-KT,,,5000.0,만원,0.0,롯데,2차 2라운드 15순위,0.0,롯데,"Contract Payment (14, 15):    "
70554,임성택,롯데 자이언츠,54.0,1977.0,5.0,5.0,Outfielder,Left,False,Left,175.0,81.0,신일고-한양대,2000.0,만원,1800.0,만원,,,,0.0,롯데,"Draft (18, 19, 20):    "
70559,선성균,롯데 자이언츠,59.0,1977.0,4.0,26.0,Pitcher,Right,False,Right,180.0,75.0,진흥고-원광대,,,1600.0,만원,,,,0.0,롯데,"Contract Payment (14, 15):    Draft (18, 19, 20):    "
70571,박효순,롯데 자이언츠,36.0,1977.0,4.0,27.0,Pitcher,Right,False,Right,188.0,86.0,부천고-동아대,2000.0,만원,1600.0,만원,,,,0.0,롯데,"Draft (18, 19, 20):    "
70604,박정현,KIA 타이거즈,4.0,1981.0,6.0,4.0,Infielder,Right,False,Left,181.0,75.0,서울고-해태,,,1500.0,만원,,,,0.0,해태,"Contract Payment (14, 15):    Draft (18, 19, 20):    "
